Date,Open,High,Low,Close,Adj Close,Volume,Daily_Change,Daily_Pct_Change,Normalized_Change
2021-04-08,677.38,689.55,671.65,683.8,683.8,23924300,6.42,0.95,4.18
2021-04-09,677.77,680.97,669.43,677.02,677.02,21437100,-0.75,-0.11,4.13
2021-04-12,685.7,704.8,682.09,701.98,701.98,29135700,16.28,2.37,4.29
2021-04-13,712.7,763.0,710.66,762.32,762.32,44652800,49.62,6.96,4.65
2021-04-14,770.7,780.79,728.03,732.23,732.23,49017400,-38.47,-4.99,4.47
2021-04-15,743.1,743.69,721.31,738.85,738.85,27848900,-4.25,-0.57,4.51
2021-04-16,728.65,749.41,724.6,739.78,739.78,27979500,11.13,1.53,4.52
2021-04-19,719.6,725.4,691.8,714.63,714.63,39686200,-4.97,-0.69,4.36
2021-04-20,717.42,737.25,710.69,718.99,718.99,35609000,1.57,0.22,4.39
2021-04-21,704.77,744.84,698.0,744.12,744.12,31215500,39.35,5.58,4.54
2021-04-22,741.5,753.77,718.04,719.69,719.69,35590300,-21.81,-2.94,4.39
2021-04-23,719.8,737.36,715.46,729.4,729.4,28370000,9.6,1.33,4.45
2021-04-26,741.0,749.3,732.61,738.2,738.2,31038500,-2.8,-0.38,4.51
2021-04-27,717.96,724.0,703.35,704.74,704.74,29437000,-13.22,-1.84,4.3
2021-04-28,696.41,708.5,693.6,694.4,694.4,22271000,-2.01,-0.29,4.24
2021-04-29,699.51,702.25,668.5,677.0,677.0,28845400,-22.51,-3.22,4.13
2021-04-30,667.59,715.47,666.14,709.44,709.44,40686400,41.85,6.27,4.33
2021-05-03,703.8,706.0,680.5,684.9,684.9,27043100,-18.9,-2.69,4.18
2021-05-04,678.94,683.45,657.7,673.6,673.6,29739300,-5.34,-0.79,4.11
2021-05-05,681.06,685.3,667.34,670.94,670.94,21901900,-10.12,-1.49,4.1
2021-05-06,680.76,681.02,650.0,663.54,663.54,27784600,-17.22,-2.53,4.05
2021-05-07,665.8,690.0,660.22,672.37,672.37,23422100,6.57,0.99,4.11
2021-05-10,664.9,665.05,627.61,629.04,629.04,31392400,-35.86,-5.39,3.84
2021-05-11,599.24,627.1,595.6,617.2,617.2,46503900,17.96,3.0,3.77
2021-05-12,602.49,620.41,586.77,589.89,589.89,33823600,-12.6,-2.09,3.6
2021-05-13,601.54,606.46,559.65,571.69,571.69,44184900,-29.85,-4.96,3.49
2021-05-14,583.41,592.87,570.46,589.74,589.74,33230600,6.33,1.09,3.6
2021-05-17,575.55,589.73,561.2,576.83,576.83,32390400,1.28,0.22,3.52
2021-05-18,568.0,596.25,563.38,577.87,577.87,36830600,9.87,1.74,3.53
2021-05-19,552.55,566.21,546.98,563.46,563.46,39578400,10.91,1.97,3.44
2021-05-20,575.0,588.85,571.07,586.78,586.78,30821100,11.78,2.05,3.58
2021-05-21,596.11,596.68,580.0,580.88,580.88,25943600,-15.23,-2.55,3.55
