Date,Open,High,Low,Close,Adj Close,Volume,Daily_Change,Daily_Pct_Change,Normalized_Change
2021-02-18,549.0,550.0,538.23,548.22,548.22,2456200,-0.78,-0.14,1.32
2021-02-19,548.0,548.99,538.81,540.22,540.22,2841500,-7.78,-1.42,1.3
2021-02-22,534.99,541.79,530.79,533.78,533.78,3078600,-1.21,-0.23,1.29
2021-02-23,525.0,548.54,518.28,546.15,546.15,4136500,21.15,4.03,1.32
2021-02-24,539.8,556.85,539.07,553.41,553.41,3245000,13.61,2.52,1.33
2021-02-25,550.27,556.48,535.75,546.7,546.7,4252900,-3.57,-0.65,1.32
2021-02-26,546.51,553.09,538.0,538.85,538.85,3755600,-7.66,-1.4,1.3
2021-03-01,545.57,552.14,542.0,550.64,550.64,3041400,5.07,0.93,1.33
2021-03-02,553.34,556.99,546.02,547.82,547.82,3042200,-5.52,-1.0,1.32
2021-03-03,545.93,548.01,517.81,520.7,520.7,5362400,-25.23,-4.62,1.26
2021-03-04,521.5,531.5,507.68,511.29,511.29,5034800,-10.21,-1.96,1.23
2021-03-05,511.98,517.76,498.79,516.39,516.39,5070000,4.41,0.86,1.25
2021-03-08,514.46,518.84,492.85,493.33,493.33,3981800,-21.13,-4.11,1.19
2021-03-09,507.31,513.11,503.82,506.44,506.44,3470000,-0.87,-0.17,1.22
2021-03-10,513.5,518.97,504.25,504.54,504.54,3771500,-8.96,-1.74,1.22
2021-03-11,512.2,530.24,510.71,523.06,523.06,4714500,10.86,2.12,1.26
2021-03-12,512.5,526.51,506.59,518.02,518.02,3981700,5.52,1.08,1.25
2021-03-15,516.32,520.73,508.03,520.25,520.25,3484300,3.93,0.76,1.25
2021-03-16,524.47,533.42,523.21,524.03,524.03,3238900,-0.44,-0.08,1.26
2021-03-17,522.0,528.37,514.3,524.44,524.44,2817400,2.44,0.47,1.26
2021-03-18,516.4,517.9,503.85,504.79,504.79,4094500,-11.61,-2.25,1.22
2021-03-19,504.96,513.19,501.63,512.18,512.18,4386400,7.22,1.43,1.23
2021-03-22,509.13,529.31,509.13,523.11,523.11,3360600,13.98,2.75,1.26
2021-03-23,529.87,543.12,529.4,535.09,535.09,5583500,5.22,0.99,1.29
2021-03-24,533.78,534.42,520.0,520.81,520.81,4102200,-12.97,-2.43,1.26
2021-03-25,516.99,518.53,497.0,502.86,502.86,4926800,-14.13,-2.73,1.21
2021-03-26,502.82,508.72,496.68,508.05,508.05,3467800,5.23,1.04,1.22
2021-03-29,505.66,518.0,504.4,513.95,513.95,3330000,8.29,1.64,1.24
2021-03-30,510.51,514.41,506.91,513.39,513.39,2418100,2.88,0.56,1.24
2021-03-31,515.67,528.13,515.44,521.66,521.66,3503100,5.99,1.16,1.26
2021-04-01,529.93,540.5,527.03,539.42,539.42,3938600,9.49,1.79,1.3
2021-04-05,540.01,542.85,529.23,540.67,540.67,3355900,0.66,0.12,1.3
2021-04-06,544.81,554.17,543.3,544.53,544.53,3474200,-0.28,-0.05,1.31
2021-04-07,543.5,549.64,541.45,546.99,546.99,2151300,3.49,0.64,1.32
2021-04-08,551.13,556.9,547.57,554.58,554.58,4309800,3.45,0.63,1.34
2021-04-09,552.69,556.9,547.11,555.31,555.31,2894000,2.62,0.47,1.34
2021-04-12,551.05,557.98,549.58,552.78,552.78,2944100,1.73,0.31,1.33
2021-04-13,557.0,559.75,550.3,553.73,553.73,2720300,-3.27,-0.59,1.34
2021-04-14,554.87,554.87,538.53,540.02,540.02,3740300,-14.85,-2.68,1.3
2021-04-15,544.17,553.49,542.66,549.22,549.22,3139100,5.05,0.93,1.32
2021-04-16,550.54,551.98,539.51,546.54,546.54,3209100,-4.0,-0.73,1.32
2021-04-19,546.9,556.44,545.53,554.44,554.44,4288700,7.54,1.38,1.34
2021-04-20,554.42,563.56,546.3,549.57,549.57,11257600,-4.85,-0.87,1.32
2021-04-21,508.0,515.46,503.6,508.9,508.9,22897400,0.9,0.18,1.23
2021-04-22,513.82,513.96,500.55,508.78,508.78,9061100,-5.04,-0.98,1.23
2021-04-23,509.01,509.7,500.7,505.55,505.55,7307700,-3.46,-0.68,1.22
2021-04-26,506.76,510.48,503.0,510.3,510.3,4388800,3.54,0.7,1.23
2021-04-27,512.62,512.99,504.58,505.55,505.55,3761300,-7.07,-1.38,1.22
2021-04-28,505.2,508.4,503.34,506.52,506.52,3193000,1.32,0.26,1.22
2021-04-29,507.6,509.29,499.0,509.0,509.0,5127800,1.4,0.28,1.23
2021-04-30,505.0,514.55,505.0,513.47,513.47,4408400,8.47,1.68,1.24
2021-05-03,512.65,518.95,505.2,509.11,509.11,4091900,-3.54,-0.69,1.23
2021-05-04,510.78,511.63,496.79,503.18,503.18,4349500,-7.6,-1.49,1.21
2021-05-05,504.99,507.78,494.63,496.08,496.08,3129400,-8.91,-1.76,1.2
2021-05-06,495.99,499.55,491.37,499.55,499.55,3783700,3.56,0.72,1.2
2021-05-07,504.62,508.55,501.12,503.84,503.84,3131100,-0.78,-0.15,1.21
2021-05-10,502.0,503.15,486.11,486.69,486.69,5131600,-15.31,-3.05,1.17
2021-05-11,479.75,497.99,478.63,495.08,495.08,4401000,15.33,3.2,1.19
2021-05-12,486.83,493.54,482.7,484.98,484.98,4121500,-1.85,-0.38,1.17
2021-05-13,489.13,490.78,482.71,486.66,486.66,2712500,-2.47,-0.5,1.17
2021-05-14,487.86,494.85,486.59,493.37,493.37,2881800,5.51,1.13,1.19
2021-05-17,485.59,492.71,482.81,488.94,488.94,2705200,3.35,0.69,1.18
2021-05-18,488.4,493.48,486.19,486.28,486.28,2350500,-2.12,-0.43,1.17
2021-05-19,481.63,488.57,478.54,487.7,487.7,3349900,6.07,1.26,1.18
2021-05-20,489.55,502.7,488.98,501.67,501.67,3721200,12.12,2.48,1.21
2021-05-21,503.12,505.4,497.26,497.89,497.89,3317300,-5.23,-1.04,1.2
